               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.049497,            0.060638,                   0,             0.71891,             0.77788,             0.73532,             0.21102,            0.055899,            0.062509,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.050749,            0.063951,                   0,             0.70126,             0.78534,             0.72672,             0.20613,            0.055643,            0.062923,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.050755,            0.063875,                   0,             0.72384,              0.7658,              0.7433,             0.21756,             0.05551,            0.062699,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.051497,            0.063351,                   0,             0.73523,             0.76221,             0.74926,              0.2197,            0.054878,            0.062209,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.050648,            0.062281,                   0,             0.70902,             0.77604,             0.72969,             0.21686,              0.0536,            0.062491,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.051151,            0.060655,                   0,             0.71734,             0.76718,             0.73513,             0.21498,            0.053577,            0.062431,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.051403,             0.06104,                   0,             0.71221,             0.77093,             0.73365,             0.21558,              0.0536,            0.062437,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.050316,            0.059894,                   0,             0.70421,             0.77788,             0.73173,             0.21431,            0.053082,            0.062382,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.049759,            0.060046,                   0,             0.71125,             0.77419,             0.73439,             0.21396,             0.05314,            0.062448,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.051701,             0.06186,                   0,             0.70497,             0.76774,             0.73029,             0.21045,            0.053494,            0.062666,                   0,            0.000298,            0.000298,            0.000298
