               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.043795,            0.034244,                   0,             0.58363,             0.67045,             0.64042,              0.2573,            0.040222,             0.02323,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.041545,            0.034924,                   0,             0.57696,             0.59091,             0.59959,             0.26553,            0.038425,            0.023905,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.041249,            0.034472,                   0,               0.611,             0.60689,             0.62036,             0.28791,            0.038657,            0.022822,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.039559,            0.032448,                   0,             0.49423,             0.61364,             0.55854,             0.25947,            0.041289,            0.022772,                   0,            0.006733,            0.006733,            0.006733
                  68,             0.04724,            0.036419,                   0,             0.55729,             0.67045,             0.62871,             0.26118,            0.043439,            0.022574,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,              0.0454,            0.032775,                   0,             0.49582,             0.61364,             0.54001,             0.23136,            0.042952,            0.022326,                   0,            0.006634,            0.006634,            0.006634
                  70,             0.04507,             0.03314,                   0,             0.64142,             0.65048,             0.65728,             0.27696,            0.047108,            0.022017,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,             0.04487,            0.035448,                   0,             0.62124,             0.60227,             0.57209,             0.27821,            0.038207,            0.022935,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.043558,            0.032359,                   0,             0.64341,             0.65615,             0.65636,             0.29461,            0.039373,            0.022275,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,             0.04158,            0.034451,                   0,              0.6536,             0.72727,             0.66676,             0.28026,             0.03939,            0.022541,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.042487,            0.030757,                   0,             0.66405,             0.76136,             0.68477,             0.30733,            0.038015,            0.022062,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.040081,            0.031301,                   0,             0.65347,             0.72861,              0.6715,             0.32691,            0.036426,            0.021877,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.042846,            0.035791,                   0,             0.68644,             0.71591,             0.67122,             0.29888,            0.039373,            0.021978,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.044209,            0.031775,                   0,             0.57016,             0.67045,             0.62486,              0.3056,            0.037288,            0.022205,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.040552,            0.029434,                   0,             0.59553,             0.65909,             0.60552,             0.28553,            0.040177,            0.022208,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.041283,            0.028207,                   0,             0.57459,             0.73864,             0.64173,             0.32467,            0.038563,            0.021715,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.041324,            0.038708,                   0,             0.61074,             0.65909,             0.59438,             0.26473,             0.04094,            0.023154,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.042425,            0.032815,                   0,             0.63559,             0.60227,             0.65113,              0.2996,            0.039558,              0.0217,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.041871,            0.029107,                   0,             0.60878,             0.70733,             0.69914,             0.33745,            0.038762,            0.021364,                   0,           0.0059905,           0.0059905,           0.0059905
